Time,ID,AccRawX, AccRawY, AccRawZ,GyoRawX, GyoRawY, GyoRawZ,MagRawX, MagRawY, MagRawZ,Pitch, Roll, Yaw,Test8F[0], Test8F[1], Test8F[2], Test8F[3], Test8F[4], Test8F[5], Test8F[6], Test8F[7]
16-11-35.573,7,-997,-267,13,-43,-220,2,432,-155,-503,-74.82,90.84,-37.3,0,0,-57.49466,0.008483976,1,0,40.07691,0.01512611
16-11-35.593,7,-970,-264,25,11,-296,-67,430,-153,-505,-74.73,92.65,-39.3,0,0,-57.70406,0.02321944,1,0,39.99171,0.01512889
16-11-35.614,7,-976,-270,32,47,-412,-61,431,-154,-511,-74.54,95.36,-42,0,0,-57.51691,0.02299218,1,0,39.9444,0.01513167
16-11-35.633,7,-988,-275,26,18,-411,-58,428,-154,-517,-74.32,98.41,-45.1,0,0,-57.33854,0.01466518,1,0,40.05571,0.01513445
16-11-35.656,7,-985,-269,24,-26,-357,-66,429,-155,-515,-74.08,100.8,-47.6,0,0,-57.91349,0.01084097,1,0,40.11232,0.01513722
16-11-35.673,7,-990,-273,38,5,-289,-51,425,-149,-517,-73.82,103.11,-50,0,0,-58.58994,0.005621184,1,0,40.05102,0.01514
16-11-35.695,7,-1009,-284,51,-26,-142,5,424,-154,-520,-73.69,104.14,-51.2,0,0,-57.90376,0.02090306,1,0,40.05995,0.01514278
16-11-35.715,7,-997,-286,56,51,-294,-26,427,-152,-531,-73.57,105.66,-52.7,0,0,-57.51538,0.02232808,1,0,40.07314,0.01514555
16-11-35.734,7,-977,-285,41,-6,-451,-49,425,-151,-538,-73.28,107.96,-55.1,0,0,-57.40849,0.01660424,1,0,40.61364,0.01514833
16-11-35.755,7,-991,-290,34,-21,-378,-11,419,-151,-536,-72.93,110.43,-57.7,0,0,-57.8146,0.02090616,1,0,40.61732,0.01515111
16-11-35.774,7,-1001,-297,51,7,-625,15,415,-153,-544,-72.58,113.44,-60.9,0,0,-57.31318,0.02017995,1,0,40.02782,0.01515389
16-11-35.794,7,-983,-293,73,-58,-621,-14,408,-152,-553,-72.05,116.92,-64.6,0,0,-57.19799,0.02042152,1,0,39.6384,0.01515666
16-11-35.814,7,-968,-288,117,-23,-503,-4,409,-152,-557,-71.46,119.91,-67.9,0,0,-57.63727,0.03231651,1,0,40.08758,0.01515944
16-11-35.833,7,-976,-287,164,-14,-433,36,407,-155,-559,-71.04,122.15,-70.3,0,0,-57.73513,0.04092906,1,0,39.88198,0.01516222
16-11-35.854,7,-980,-287,199,26,-302,64,402,-153,-563,-70.73,124.13,-72.4,0,0,-57.8302,0.03379376,1,0,40.00499,0.01516499
16-11-35.875,7,-977,-290,205,-17,-152,47,399,-153,-564,-70.58,125.35,-73.7,0,0,-57.95396,0.0206653,1,0,40.13243,0.01516777
16-11-35.895,7,-979,-298,210,29,-259,59,394,-155,-569,-70.43,126.44,-74.8,0,0,-57.45755,0.007557433,1,0,39.78596,0.01517055
16-11-35.913,7,-984,-299,222,62,-263,99,398,-154,-576,-70.25,127.92,-76.3,0,0,-57.68436,0.01235886,1,0,39.72004,0.01517333
16-11-35.934,7,-972,-284,213,14,-259,86,396,-157,-575,-70.09,129.42,-77.8,0,0,-57.85508,0.01062618,1,0,40.522,0.0151761
16-11-35.956,7,-939,-268,206,22,-386,21,390,-159,-577,-69.68,131.2,-79.7,0,0,-57.73195,0.02919173,1,0,39.98166,0.01517888
16-11-35.975,7,-959,-261,232,-11,-121,38,391,-161,-579,-69.42,132.18,-80.7,0,0,-57.71453,0.03890141,1,0,39.92757,0.01518305
16-11-35.996,7,-974,-273,238,6,-328,50,390,-160,-581,-69.19,133.22,-81.9,0,0,-57.92802,0.02725084,1,0,39.96503,0.01518582
16-11-36.015,7,-972,-272,249,36,-435,28,386,-161,-586,-68.72,134.8,-83.5,0,0,-57.80477,0.01957045,1,0,40.02065,0.0151886
16-11-36.034,7,-982,-265,258,11,-306,78,380,-164,-590,-68.22,136.46,-85.2,0,0,-57.52397,0.0106323,1,0,39.75739,0.01519138
16-11-36.054,7,-1028,-255,240,-109,234,336,383,-163,-587,-68.69,136.68,-85.6,0,0,-57.96969,0.03435324,1,0,39.86665,0.01519416
16-11-36.075,7,-973,-241,240,-86,139,295,382,-164,-586,-69.2,137.68,-86.9,0,0,-58.26024,0.04334673,1,0,39.66489,0.01519693
16-11-36.094,7,-932,-227,241,-82,72,206,381,-167,-585,-69.73,137.94,-87.3,0,0,-58.02513,0.05655775,1,0,39.62082,0.01519971
16-11-36.116,7,-917,-224,242,-96,85,91,382,-171,-584,-70.05,138.19,-87.8,0,0,-57.84731,0.03204064,1,0,39.67991,0.01520249
16-11-36.134,7,-894,-222,244,-35,-320,-74,377,-165,-583,-70.03,137.95,-87.7,0,0,-58.05857,0.0210699,1,0,39.12817,0.01520526
16-11-36.156,7,-932,-232,260,35,-409,-96,377,-166,-590,-69.27,139.17,-89,0,0,-57.87152,0.01763996,1,0,39.05235,0.01520804
16-11-36.173,7,-971,-247,256,-16,-531,-49,372,-167,-597,-68.49,140.42,-90.3,0,0,-57.54897,0.04285606,1,0,39.46376,0.01521082
16-11-36.194,7,-951,-250,231,-130,-860,-95,366,-163,-604,-67.3,142.26,-92.4,0,0,-57.81487,0.02993684,1,0,39.72182,0.0152136
16-11-36.216,7,-947,-253,258,-186,-719,-112,362,-161,-610,-65.86,143.71,-94.4,0,0,-58.18764,0.02819807,1,0,39.6171,0.01521637
16-11-36.234,7,-979,-262,340,-89,-523,10,355,-162,-618,-64.79,144.83,-96,0,0,-57.67405,0.04387733,1,0,39.7618,0.01521915
16-11-36.254,7,-945,-255,370,-81,-392,-34,350,-159,-624,-64.06,145.71,-97.1,0,0,-57.75471,0.0644154,1,0,39.74756,0.01522193
16-11-36.275,7,-928,-255,371,-85,-299,0,348,-158,-626,-63.47,146.24,-97.9,0,0,-57.96398,0.04123596,1,0,39.58137,0.0152247
16-11-36.294,7,-940,-264,389,0,-293,72,343,-155,-630,-63.02,146.91,-98.8,0,0,-58.02884,0.01469384,1,0,39.75222,0.01522748
16-11-36.314,7,-925,-267,381,-49,-261,13,343,-163,-636,-62.61,147.71,-99.7,0,0,-57.26166,0.0208747,1,0,39.49628,0.01523026
16-11-36.336,7,-892,-254,356,-88,-403,-39,338,-158,-637,-62.06,148.08,-100.3,0,0,-57.66078,0.03336904,1,0,40.14338,0.01523304
16-11-36.355,7,-903,-255,394,-21,-314,1,337,-156,-637,-61.36,148.67,-101.1,0,0,-58.26918,0.03219327,1,0,39.58331,0.01523581
16-11-36.376,7,-920,-260,422,-11,-221,53,329,-155,-639,-60.95,149.2,-101.8,0,0,-57.97691,0.03713259,1,0,39.69176,0.01523859
16-11-36.396,7,-920,-258,428,-20,-104,95,327,-157,-643,-60.75,149.69,-102.4,0,0,-57.63398,0.0253218,1,0,39.41062,0.01524137
16-11-36.415,7,-920,-264,423,-22,-318,202,331,-158,-644,-60.62,150.38,-103.2,0,0,-58.19284,0.004371529,1,0,39.72306,0.01524414
16-11-36.435,7,-896,-262,441,25,-341,155,326,-161,-644,-60.15,151.63,-104.7,0,0,-58.22925,0.01195327,1,0,40.17892,0.01524692
16-11-36.456,7,-873,-248,431,-66,-287,85,321,-163,-650,-59.7,152.43,-105.6,0,0,-57.88065,0.03130654,1,0,40.16628,0.0152497
16-11-36.475,7,-898,-250,437,1,-514,191,314,-159,-655,-59.25,153.22,-106.7,0,0,-57.79737,0.02382069,1,0,39.71238,0.01525248
